timestamp,player_index,packets_received,packets_sent,x,y,is_it
181645,0,8515,8515,241.417,695.859,0
181645,1,8053,8053,96.1268,471.264,1
181709,0,8517,8517,241.417,695.859,0
181709,1,8055,8055,96.1268,471.264,1
181772,0,8519,8519,241.417,695.859,0
181772,1,8057,8057,96.1268,471.264,1
181835,0,8521,8521,241.417,695.859,0
181835,1,8059,8059,96.1268,471.264,1
181901,0,8524,8524,241.417,695.859,0
181901,1,8061,8061,96.1268,471.264,1
181964,0,8526,8526,241.417,695.859,0
181964,1,8063,8063,96.1268,471.264,1
182027,0,8528,8528,241.417,695.859,0
182027,1,8066,8066,96.1268,471.264,1
182110,0,8529,8529,241.417,695.859,0
182110,1,8067,8067,96.1268,471.264,1
182168,0,8531,8531,241.417,695.859,0
182168,1,8069,8069,96.1268,471.264,1
182231,0,8533,8533,241.417,695.859,0
182231,1,8071,8071,96.1268,471.264,1
182293,0,8535,8535,241.417,695.859,0
182293,1,8073,8073,96.1268,471.264,1
182358,0,8538,8538,241.417,695.859,0
182358,1,8076,8076,96.1268,471.264,1
182419,0,8540,8540,241.417,695.859,0
182419,1,8078,8078,96.1268,471.264,1
182482,0,8542,8542,241.417,695.859,0
182482,1,8080,8080,96.1268,471.264,1
182546,0,8544,8544,241.417,695.859,0
182546,1,8082,8082,96.1268,471.264,1
182607,0,8546,8546,241.417,695.859,0
182607,1,8084,8084,96.1268,471.264,1
182670,0,8548,8548,241.417,695.859,0
182670,1,8087,8087,96.1268,471.264,1
182732,0,8550,8550,241.417,695.859,0
182732,1,8089,8089,96.1268,471.264,1
182794,0,8552,8552,241.417,695.859,0
182794,1,8091,8091,96.1268,471.264,1
182857,0,8554,8554,241.417,695.859,0
182857,1,8093,8093,96.1268,471.264,1
182919,0,8556,8556,241.417,695.859,0
182919,1,8095,8095,96.1268,471.264,1
182979,0,8558,8558,241.417,695.859,0
182979,1,8097,8097,96.1268,471.264,1
183042,0,8560,8560,241.417,695.859,0
183042,1,8098,8098,96.1268,471.264,1
183121,0,8563,8563,241.417,695.859,0
183121,1,8101,8101,96.1268,471.264,1
183184,0,8565,8565,241.417,695.859,0
183184,1,8103,8103,96.1268,471.264,1
183246,0,8567,8567,241.417,695.859,0
183246,1,8105,8105,96.1268,471.264,1
183310,0,8569,8569,241.417,695.859,0
183310,1,8107,8107,96.1268,471.264,1
183373,0,8571,8571,241.417,695.859,0
183373,1,8109,8109,96.1268,471.264,1
